id_interacao,id_cliente,canal,tipo_problema,tempo_resolucao,satisfacao_cliente
70,176,Telefone,Técnico,12,1
71,24,Telefone,Técnico,48,2
72,143,E-mail,Dúvida,72,5
73,85,Chat,Técnico,53,3
74,171,Telefone,Técnico,37,5
75,80,Telefone,Técnico,65,2
76,40,Chat,Reclamação,29,1
77,90,Chat,Operacional,15,3
78,147,E-mail,Reclamação,72,5
79,158,Chat,Dúvida,4,5
80,169,Chat,Operacional,4,2
81,70,Chat,Operacional,44,3
82,2,E-mail,Financeiro,52,1
83,37,Chat,Técnico,12,5
84,56,Telefone,Reclamação,59,3
85,41,Telefone,Operacional,42,5
86,153,E-mail,Técnico,20,2
87,194,Chat,Técnico,11,3
88,114,Chat,Reclamação,63,5
89,114,Telefone,Operacional,28,5
90,30,Telefone,Reclamação,15,3
91,174,Chat,Dúvida,63,5
92,171,Telefone,Técnico,29,4
93,154,E-mail,Técnico,27,3
94,55,E-mail,Operacional,38,3
95,31,E-mail,Reclamação,56,2
96,34,Telefone,Dúvida,30,5
97,144,Chat,Operacional,10,4
98,190,E-mail,Reclamação,3,4
99,20,Telefone,Dúvida,55,5
100,104,Chat,Reclamação,38,1
101,104,E-mail,Operacional,22,5
102,118,Chat,Operacional,12,4
103,28,E-mail,Reclamação,52,5
104,21,Telefone,Operacional,44,2
105,86,E-mail,Técnico,66,1
106,136,Chat,Financeiro,45,3
107,187,Chat,Financeiro,31,1
108,38,Telefone,Financeiro,23,5
109,40,Chat,Técnico,23,4
110,119,Chat,Dúvida,58,5
111,165,Chat,Dúvida,42,3
112,39,Telefone,Técnico,61,4
113,162,Telefone,Operacional,8,3
114,130,E-mail,Operacional,60,4
115,10,E-mail,Operacional,37,1
116,166,E-mail,Dúvida,65,4
117,119,Chat,Dúvida,6,4
118,147,Chat,Financeiro,42,5
119,122,Chat,Financeiro,8,4
120,27,Telefone,Técnico,65,2
121,11,E-mail,Reclamação,57,5
122,134,Chat,Financeiro,47,3
123,73,Telefone,Reclamação,44,5
124,14,Chat,Operacional,9,3
125,25,Chat,Reclamação,37,3
126,186,Chat,Dúvida,20,3
127,21,Chat,Financeiro,45,3
128,168,Chat,Reclamação,17,5
129,182,E-mail,Operacional,72,4
130,165,Telefone,Financeiro,68,1
131,166,Chat,Reclamação,66,3
132,5,Telefone,Operacional,24,2
133,88,Telefone,Financeiro,29,2
134,40,E-mail,Operacional,13,5
135,198,Chat,Dúvida,5,3
136,197,Chat,Financeiro,49,2
137,42,E-mail,Dúvida,22,4
138,12,Telefone,Operacional,31,4
139,157,Telefone,Reclamação,30,5
140,62,Telefone,Reclamação,25,3
141,174,Chat,Reclamação,60,3
142,200,Telefone,Dúvida,68,4
143,42,E-mail,Dúvida,18,3
144,14,Chat,Reclamação,48,5
145,27,Chat,Dúvida,16,3
146,22,E-mail,Operacional,58,5
147,38,Telefone,Técnico,29,4
148,90,E-mail,Reclamação,7,4
149,129,Telefone,Financeiro,50,1
150,96,E-mail,Técnico,41,1
151,183,Chat,Operacional,19,2
152,10,Telefone,Reclamação,18,4
153,115,Chat,Técnico,11,1
154,66,E-mail,Financeiro,71,5
155,136,Telefone,Técnico,37,2
156,78,E-mail,Técnico,31,4
157,164,Chat,Reclamação,9,1
158,128,Chat,Dúvida,3,5
159,148,E-mail,Financeiro,38,4
160,1,Chat,Operacional,31,5
161,107,E-mail,Técnico,68,3
162,18,Chat,Dúvida,65,5
163,142,E-mail,Reclamação,61,1
164,163,Telefone,Operacional,33,1
165,92,E-mail,Operacional,31,1
166,198,Chat,Operacional,18,1
167,91,Chat,Operacional,23,4
168,179,Telefone,Financeiro,18,1
169,184,Telefone,Técnico,38,2
170,12,E-mail,Técnico,41,3
171,132,Telefone,Dúvida,61,3
172,10,Chat,Financeiro,37,3
173,200,E-mail,Operacional,35,1
174,95,Telefone,Reclamação,57,4
175,87,E-mail,Reclamação,64,3
176,133,Telefone,Técnico,55,1
177,111,Chat,Financeiro,70,3
178,83,E-mail,Técnico,42,3
179,79,Telefone,Dúvida,55,2
180,177,Telefone,Operacional,58,1
181,187,Telefone,Dúvida,56,3
182,164,E-mail,Técnico,52,3
183,132,Chat,Financeiro,4,2
184,156,Chat,Reclamação,5,2
185,18,E-mail,Operacional,47,4
186,146,E-mail,Dúvida,20,4
187,95,Telefone,Reclamação,10,5
188,36,Chat,Operacional,51,3
189,167,Telefone,Financeiro,15,1
190,189,E-mail,Reclamação,67,4
191,144,E-mail,Operacional,34,4
192,55,Chat,Operacional,63,2
193,32,E-mail,Técnico,58,2
194,183,Telefone,Técnico,41,3
195,182,E-mail,Dúvida,70,3
196,77,E-mail,Financeiro,47,5
197,58,E-mail,Financeiro,18,2
198,127,E-mail,Operacional,71,5
199,95,Telefone,Dúvida,17,5
200,23,E-mail,Operacional,51,4
201,808,E-mail,Reclamação,41,5
202,1048,E-mail,Operacional,51,2
203,876,Telefone,Reclamação,48,1
204,583,Telefone,Operacional,40,4
205,1149,E-mail,Financeiro,57,4
206,907,Telefone,Financeiro,55,4
207,286,Chat,Dúvida,12,2
208,426,Telefone,Reclamação,68,3
209,136,Chat,Reclamação,12,1
210,839,Chat,Operacional,54,2
211,1139,Telefone,Dúvida,18,2
212,381,Telefone,Operacional,71,4
213,87,Telefone,Dúvida,39,4
214,1146,Chat,Reclamação,29,1
215,6,E-mail,Operacional,39,4
216,255,Chat,Operacional,54,2
217,1008,Chat,Financeiro,4,1
218,568,Telefone,Técnico,47,5
219,985,Chat,Reclamação,34,4
220,245,Telefone,Dúvida,3,3
221,334,Chat,Técnico,19,3
222,945,Chat,Financeiro,46,2
223,109,Telefone,Operacional,54,3
224,100,Telefone,Operacional,68,1
225,1053,E-mail,Financeiro,13,5
226,343,Chat,Operacional,41,3
227,556,Chat,Operacional,13,5
228,1188,Telefone,Financeiro,2,2
229,1062,Telefone,Operacional,63,4
230,697,E-mail,Técnico,28,2
231,1031,E-mail,Financeiro,72,5
232,1077,Chat,Dúvida,15,4
233,944,E-mail,Técnico,17,1
234,983,Telefone,Operacional,47,2
235,906,Chat,Dúvida,44,2
236,624,E-mail,Técnico,29,2
237,292,Chat,Financeiro,40,2
238,430,E-mail,Técnico,55,1
239,160,E-mail,Reclamação,56,1
240,403,E-mail,Técnico,66,5
241,122,Telefone,Técnico,33,1
242,136,Telefone,Técnico,13,1
243,421,Chat,Financeiro,24,3
244,60,E-mail,Financeiro,36,5
245,713,Telefone,Financeiro,65,5
246,496,Chat,Dúvida,9,1
247,1185,E-mail,Dúvida,28,2
248,578,E-mail,Dúvida,1,1
249,439,Chat,Reclamação,47,5
250,380,Telefone,Técnico,24,3
251,778,Telefone,Financeiro,66,2
252,835,E-mail,Operacional,16,4
253,226,Chat,Financeiro,64,3
254,591,Chat,Técnico,11,3
255,1012,E-mail,Reclamação,37,4
256,639,Chat,Reclamação,29,5
257,835,Telefone,Reclamação,25,1
258,975,Chat,Operacional,23,1
259,1007,Chat,Técnico,51,4
260,1071,Chat,Técnico,16,2
261,809,Telefone,Dúvida,14,2
262,133,Telefone,Financeiro,44,2
263,828,E-mail,Financeiro,55,4
264,571,Chat,Dúvida,35,4
265,730,Telefone,Dúvida,52,4
266,1048,Telefone,Financeiro,59,1
267,251,Telefone,Reclamação,64,2
268,276,E-mail,Técnico,7,1
269,1021,Chat,Técnico,23,4
270,670,E-mail,Operacional,13,1
271,1065,Telefone,Reclamação,26,3
272,1020,Telefone,Dúvida,34,5
273,704,Chat,Dúvida,3,1
274,882,E-mail,Reclamação,58,3
275,771,Telefone,Reclamação,5,1
276,363,Chat,Operacional,22,4
277,883,E-mail,Operacional,50,4
278,225,Chat,Reclamação,71,5
279,1172,Telefone,Reclamação,72,2
280,1038,E-mail,Reclamação,34,4
281,774,Chat,Operacional,37,3
282,126,E-mail,Dúvida,6,2
283,751,Telefone,Dúvida,4,3
284,780,E-mail,Reclamação,45,3
285,844,Telefone,Técnico,32,2
286,481,Chat,Operacional,11,1
287,625,E-mail,Operacional,22,1
288,1103,Telefone,Técnico,59,4
289,1164,Chat,Reclamação,35,1
290,962,Chat,Técnico,41,4
291,1169,Telefone,Operacional,13,4
292,205,Chat,Financeiro,44,4
293,1030,Chat,Operacional,22,5
294,614,Telefone,Reclamação,26,4
295,155,Chat,Financeiro,37,3
296,98,Telefone,Dúvida,52,2
297,189,Chat,Dúvida,13,5
298,690,Telefone,Técnico,68,4
299,875,E-mail,Operacional,10,3
300,1034,Telefone,Reclamação,70,3
301,410,Telefone,Reclamação,33,5
302,1056,Telefone,Dúvida,24,1
303,1058,E-mail,Dúvida,64,2
304,958,Telefone,Dúvida,56,5
305,123,Chat,Financeiro,47,4
306,303,E-mail,Financeiro,39,4
307,841,Telefone,Técnico,27,4
308,547,Telefone,Financeiro,33,5
309,484,Telefone,Financeiro,15,2
310,394,E-mail,Financeiro,40,4
311,995,Chat,Reclamação,55,1
312,414,E-mail,Operacional,18,1
313,530,Telefone,Dúvida,23,1
314,996,E-mail,Técnico,11,3
315,611,E-mail,Reclamação,47,1
316,813,Chat,Financeiro,31,1
317,1170,Chat,Dúvida,16,5
318,1189,Chat,Operacional,64,1
319,488,Chat,Técnico,41,3
320,1197,Chat,Reclamação,31,4
321,447,E-mail,Técnico,23,2
322,563,Telefone,Reclamação,33,5
323,115,Telefone,Dúvida,48,1
324,649,Chat,Reclamação,61,2
325,569,E-mail,Operacional,61,3
326,632,E-mail,Dúvida,5,1
327,491,Telefone,Dúvida,50,3
328,744,Chat,Técnico,69,2
329,907,Telefone,Técnico,51,3
330,617,E-mail,Financeiro,39,2
331,329,Telefone,Operacional,53,1
332,562,E-mail,Reclamação,61,4
333,682,Chat,Reclamação,13,2
334,535,Chat,Técnico,46,4
335,1122,Chat,Operacional,59,1
336,107,Chat,Financeiro,57,2
337,7,Telefone,Financeiro,40,3
338,1180,E-mail,Técnico,21,2
339,1058,Chat,Financeiro,53,3
340,925,Telefone,Financeiro,34,2
341,671,Telefone,Financeiro,11,4
342,753,E-mail,Reclamação,49,5
343,460,E-mail,Técnico,72,5
344,469,E-mail,Reclamação,26,3
345,346,E-mail,Reclamação,55,5
346,533,E-mail,Técnico,48,2
347,1162,E-mail,Técnico,68,4
348,930,Chat,Reclamação,16,2
349,417,E-mail,Operacional,37,4
350,783,E-mail,Reclamação,27,5
351,442,Telefone,Financeiro,54,2
352,837,E-mail,Técnico,38,3
353,483,Chat,Reclamação,32,3
354,1194,Chat,Reclamação,11,1
355,961,E-mail,Operacional,51,2
356,786,Chat,Reclamação,33,1
357,196,Chat,Técnico,7,3
358,481,Telefone,Operacional,6,1
359,520,Chat,Dúvida,49,3
360,809,Chat,Operacional,17,5
361,85,Chat,Financeiro,34,2
362,1032,Telefone,Operacional,60,2
363,184,Telefone,Dúvida,56,2
364,534,E-mail,Operacional,6,2
365,1023,Telefone,Operacional,56,3
366,540,Chat,Operacional,67,3
367,893,E-mail,Operacional,63,2
368,1139,Chat,Reclamação,7,2
369,305,E-mail,Financeiro,24,1
370,964,Telefone,Financeiro,60,4
371,238,Telefone,Técnico,57,3
372,1149,Telefone,Reclamação,64,1
373,304,E-mail,Operacional,12,2
374,582,E-mail,Financeiro,66,3
375,1154,Chat,Dúvida,28,5
376,9,Chat,Dúvida,24,4
377,158,E-mail,Reclamação,13,3
378,54,Telefone,Técnico,51,3
379,218,Telefone,Financeiro,4,1
380,943,Chat,Reclamação,59,3
381,12,Telefone,Técnico,58,3
382,1166,E-mail,Financeiro,7,3
383,662,E-mail,Técnico,71,5
384,782,E-mail,Reclamação,33,2
385,492,Telefone,Técnico,3,2
386,334,Telefone,Reclamação,37,2
387,247,Telefone,Reclamação,56,3
388,269,Telefone,Técnico,48,5
389,410,Telefone,Reclamação,50,4
390,550,Chat,Dúvida,55,1
391,866,Telefone,Dúvida,24,4
392,873,E-mail,Técnico,66,3
393,950,Chat,Financeiro,20,4
394,1080,Chat,Dúvida,11,3
395,959,Telefone,Técnico,62,3
396,305,E-mail,Operacional,32,5
397,876,Telefone,Dúvida,7,5
398,157,E-mail,Dúvida,14,5
399,871,Telefone,Técnico,60,5
400,519,Telefone,Operacional,11,5
401,34,E-mail,Reclamação,23,2
402,805,E-mail,Técnico,54,3
403,643,Chat,Reclamação,58,5
404,543,Telefone,Financeiro,28,2
405,161,Chat,Dúvida,34,1
406,889,Chat,Técnico,1,4
407,239,E-mail,Financeiro,62,4
408,830,Chat,Dúvida,63,3
409,739,Chat,Reclamação,39,1
410,257,E-mail,Técnico,25,1
411,33,Chat,Financeiro,4,2
412,986,Chat,Financeiro,31,4
413,1104,E-mail,Técnico,39,4
414,304,Telefone,Reclamação,3,1
415,341,E-mail,Reclamação,63,4
416,41,Telefone,Dúvida,32,2
417,604,Chat,Reclamação,7,3
418,17,E-mail,Reclamação,54,4
419,1186,Chat,Dúvida,38,1
420,999,Telefone,Reclamação,66,5
421,1000,E-mail,Técnico,68,1
422,865,Chat,Operacional,71,1
423,549,Chat,Reclamação,61,1
424,1014,Chat,Operacional,58,4
425,43,E-mail,Operacional,25,4
426,705,Telefone,Financeiro,65,2
427,695,Chat,Reclamação,17,3
428,800,Telefone,Operacional,61,2
429,425,Telefone,Técnico,62,2
430,355,E-mail,Financeiro,63,1
431,852,Telefone,Operacional,31,2
432,1141,E-mail,Técnico,46,3
433,732,Chat,Financeiro,23,5
434,66,E-mail,Operacional,56,1
435,465,E-mail,Dúvida,29,4
436,529,Telefone,Operacional,6,5
437,548,E-mail,Dúvida,14,1
438,897,Telefone,Técnico,14,5
439,209,Chat,Técnico,65,1
440,343,Chat,Técnico,27,3
441,322,Chat,Operacional,57,5
442,1021,Chat,Técnico,20,3
443,686,E-mail,Técnico,26,4
444,852,E-mail,Financeiro,61,3
445,588,Chat,Financeiro,11,3
446,763,Chat,Reclamação,47,2
447,311,Chat,Reclamação,30,2
448,879,Telefone,Reclamação,59,5
449,741,E-mail,Reclamação,19,1
450,1060,E-mail,Técnico,44,3
451,823,E-mail,Reclamação,8,4
452,76,Chat,Financeiro,8,5
453,606,Telefone,Reclamação,71,3
454,643,Telefone,Técnico,36,5
455,301,Chat,Reclamação,58,2
456,1115,Chat,Dúvida,57,3
457,829,E-mail,Operacional,11,1
458,1101,Telefone,Reclamação,17,5
459,1108,Telefone,Financeiro,12,5
460,1131,Telefone,Dúvida,44,2
461,48,E-mail,Dúvida,34,2
462,623,Chat,Reclamação,65,1
463,123,Telefone,Operacional,65,3
464,254,E-mail,Técnico,58,3
465,1173,Chat,Técnico,59,3
466,484,Chat,Dúvida,69,5
467,479,Telefone,Operacional,37,5
468,287,Chat,Reclamação,67,2
469,216,Telefone,Dúvida,25,3
470,931,E-mail,Financeiro,55,4
471,168,E-mail,Técnico,55,2
472,976,E-mail,Reclamação,10,3
473,1078,Telefone,Dúvida,72,5
474,809,Telefone,Dúvida,64,4
475,902,Chat,Reclamação,54,2
476,296,Chat,Financeiro,63,4
477,265,Chat,Dúvida,68,1
478,436,Telefone,Reclamação,5,2
479,1145,Telefone,Técnico,53,1
480,248,Telefone,Dúvida,38,1
481,1071,E-mail,Técnico,48,3
482,767,Telefone,Operacional,63,1
483,293,E-mail,Dúvida,54,1
484,625,Telefone,Financeiro,24,4
485,5,E-mail,Dúvida,45,1
486,92,Telefone,Reclamação,40,5
487,927,Telefone,Reclamação,61,5
488,272,E-mail,Dúvida,59,4
489,920,E-mail,Operacional,12,5
490,839,Telefone,Financeiro,51,3
491,1108,E-mail,Reclamação,36,1
492,340,Chat,Técnico,40,5
493,254,Chat,Dúvida,11,2
494,1110,Chat,Técnico,67,2
495,975,Chat,Técnico,16,5
496,369,E-mail,Operacional,27,2
497,1187,Telefone,Técnico,69,5
498,657,Telefone,Dúvida,6,4
499,48,Telefone,Reclamação,24,4
500,50,Chat,Operacional,49,3
501,187,E-mail,Técnico,70,2
502,585,E-mail,Financeiro,33,1
503,316,Telefone,Reclamação,22,1
504,667,E-mail,Técnico,8,3
505,799,E-mail,Operacional,19,4
506,664,Telefone,Reclamação,16,1
507,415,E-mail,Dúvida,31,4
508,1042,Chat,Reclamação,15,3
509,125,Telefone,Reclamação,71,4
510,135,Telefone,Técnico,53,2
511,39,Telefone,Dúvida,13,2
512,1137,Chat,Financeiro,39,5
513,834,Telefone,Técnico,65,2
514,292,Telefone,Dúvida,22,2
515,1101,Telefone,Dúvida,58,1
516,3,Telefone,Dúvida,38,2
517,2,E-mail,Reclamação,35,5
518,514,Chat,Reclamação,45,2
519,1199,Chat,Operacional,6,2
520,1094,Chat,Técnico,39,1
521,810,Chat,Técnico,18,5
522,573,Telefone,Financeiro,65,3
523,702,Chat,Operacional,58,3
524,504,Chat,Operacional,44,2
525,942,Chat,Operacional,3,2
526,5,Chat,Reclamação,1,1
527,356,Telefone,Dúvida,63,4
528,1103,E-mail,Técnico,69,1
529,912,Chat,Técnico,46,4
530,734,Telefone,Financeiro,2,1
531,948,Telefone,Financeiro,57,1
532,454,Chat,Técnico,36,3
533,393,E-mail,Dúvida,39,2
534,480,Telefone,Operacional,5,3
535,1010,Chat,Dúvida,27,1
536,402,Chat,Reclamação,15,3
537,1166,Chat,Reclamação,22,5
538,397,Chat,Dúvida,23,1
539,263,Chat,Técnico,17,3
540,1168,E-mail,Dúvida,36,2
541,48,Chat,Dúvida,33,5
542,930,E-mail,Reclamação,7,3
543,886,Telefone,Operacional,16,5
544,956,Telefone,Operacional,67,1
545,460,E-mail,Operacional,54,5
546,920,Telefone,Técnico,51,2
547,686,E-mail,Dúvida,4,2
548,868,E-mail,Financeiro,26,2
549,675,Telefone,Técnico,13,1
550,983,Telefone,Técnico,43,3
551,507,E-mail,Reclamação,31,3
552,112,Telefone,Dúvida,31,1
553,899,E-mail,Reclamação,16,1
554,125,E-mail,Reclamação,41,1
555,262,E-mail,Reclamação,8,3
556,885,E-mail,Técnico,8,5
557,107,Telefone,Reclamação,52,1
558,842,E-mail,Dúvida,2,4
559,787,Telefone,Reclamação,13,3
560,54,Telefone,Dúvida,43,5
561,395,E-mail,Técnico,2,5
562,139,Chat,Financeiro,17,5
563,525,Telefone,Reclamação,62,5
564,911,E-mail,Financeiro,18,1
565,124,E-mail,Operacional,56,5
566,733,Telefone,Dúvida,70,2
567,302,Telefone,Operacional,44,3
568,756,E-mail,Dúvida,19,1
569,487,Chat,Dúvida,7,4
570,705,E-mail,Financeiro,26,1
571,700,E-mail,Reclamação,60,5
572,679,Chat,Dúvida,43,5
573,614,Telefone,Operacional,21,1
574,931,E-mail,Reclamação,29,1
575,457,Chat,Financeiro,60,5
576,437,E-mail,Reclamação,43,4
577,421,Telefone,Financeiro,1,3
578,21,E-mail,Operacional,4,5
579,236,E-mail,Operacional,57,2
580,1200,Telefone,Técnico,4,2
581,406,Telefone,Financeiro,29,3
582,357,Telefone,Dúvida,32,2
583,402,E-mail,Financeiro,34,1
584,43,Chat,Financeiro,49,1
585,694,E-mail,Operacional,59,2
586,758,Telefone,Financeiro,68,5
587,889,Chat,Técnico,16,2
588,268,E-mail,Financeiro,69,4
589,767,Telefone,Dúvida,55,2
590,95,Chat,Dúvida,25,5
591,603,E-mail,Operacional,32,1
592,574,E-mail,Dúvida,63,2
593,167,Telefone,Dúvida,9,2
594,1042,Telefone,Dúvida,48,4
595,1063,Telefone,Financeiro,42,3
596,1077,Chat,Reclamação,64,4
597,550,Chat,Reclamação,5,2
598,450,E-mail,Reclamação,31,4
599,448,Telefone,Reclamação,49,5
600,322,Telefone,Operacional,71,1
601,276,E-mail,Operacional,57,5
602,721,E-mail,Dúvida,6,4
603,1050,Chat,Operacional,55,4
604,958,Telefone,Reclamação,48,4
605,650,Telefone,Reclamação,4,2
606,905,E-mail,Operacional,10,3
607,169,Telefone,Dúvida,66,5
608,161,Telefone,Financeiro,13,1
609,147,Telefone,Técnico,70,2
610,684,E-mail,Operacional,33,3
611,563,E-mail,Dúvida,18,5
612,535,E-mail,Operacional,37,3
613,828,Telefone,Dúvida,2,4
614,1050,E-mail,Reclamação,30,2
615,430,Telefone,Financeiro,67,5
616,1132,Telefone,Reclamação,44,1
617,642,E-mail,Reclamação,54,2
618,899,Telefone,Dúvida,4,3
619,285,Chat,Financeiro,40,1
620,1024,Chat,Operacional,44,2
621,859,Telefone,Reclamação,69,3
622,668,Chat,Técnico,5,2
623,315,Telefone,Dúvida,51,4
624,419,Telefone,Técnico,69,4
625,386,Telefone,Técnico,43,5
626,925,Chat,Operacional,12,2
627,214,Chat,Dúvida,23,1
628,1001,E-mail,Financeiro,26,1
629,791,Telefone,Financeiro,30,3
630,1074,E-mail,Reclamação,8,3
631,1062,E-mail,Financeiro,42,4
632,801,E-mail,Técnico,17,5
633,857,Telefone,Técnico,50,2
634,267,E-mail,Operacional,56,4
635,326,Chat,Dúvida,40,5
636,416,Chat,Reclamação,36,2
637,16,E-mail,Reclamação,9,4
638,506,Chat,Operacional,63,4
639,948,Chat,Técnico,12,3
640,935,Telefone,Operacional,51,5
641,359,Telefone,Financeiro,23,5
642,885,Telefone,Reclamação,24,5
643,196,Telefone,Técnico,31,2
644,561,Chat,Dúvida,38,1
645,445,Telefone,Reclamação,71,1
646,756,E-mail,Técnico,65,3
647,840,Telefone,Financeiro,33,2
648,1037,E-mail,Reclamação,4,1
649,946,Telefone,Operacional,52,2
650,813,E-mail,Técnico,33,1
651,280,Telefone,Reclamação,63,4
652,140,E-mail,Dúvida,32,4
653,288,Telefone,Operacional,21,2
654,37,Chat,Técnico,23,3
655,255,Chat,Reclamação,22,1
656,23,Chat,Operacional,20,4
657,734,E-mail,Financeiro,5,5
658,443,Telefone,Técnico,67,1
659,800,Chat,Operacional,57,1
660,10,E-mail,Reclamação,26,2
661,768,E-mail,Financeiro,12,1
662,864,E-mail,Técnico,44,2
663,130,E-mail,Técnico,22,2
664,91,Telefone,Dúvida,14,3
665,661,Chat,Financeiro,27,5
666,810,Telefone,Técnico,30,2
667,217,Telefone,Operacional,23,1
668,824,Chat,Operacional,2,4
669,436,Telefone,Financeiro,9,3
670,756,E-mail,Técnico,28,4
671,618,Chat,Reclamação,14,5
672,1166,E-mail,Operacional,13,5
673,665,Chat,Reclamação,18,3
674,360,Chat,Operacional,62,1
675,687,E-mail,Dúvida,58,4
676,1047,Chat,Financeiro,65,5
677,28,E-mail,Técnico,16,3
678,485,Chat,Reclamação,32,5
679,163,E-mail,Financeiro,48,4
680,608,E-mail,Financeiro,49,2
681,78,E-mail,Dúvida,57,3
682,275,Telefone,Operacional,6,5
683,850,Chat,Operacional,4,2
684,679,Telefone,Financeiro,27,5
685,111,Chat,Financeiro,29,5
686,782,Chat,Operacional,24,4
687,13,E-mail,Reclamação,9,2
688,107,Chat,Financeiro,27,2
689,188,E-mail,Dúvida,71,2
690,484,Chat,Técnico,55,4
691,638,E-mail,Financeiro,32,4
692,362,Chat,Financeiro,39,3
693,1181,Telefone,Financeiro,35,4
694,164,Telefone,Reclamação,49,2
695,965,Telefone,Reclamação,65,5
696,888,E-mail,Reclamação,3,4
697,876,E-mail,Operacional,69,2
698,1133,Chat,Financeiro,33,4
699,950,Telefone,Reclamação,37,4
700,1152,Chat,Reclamação,10,3
701,280,Chat,Reclamação,26,2
702,389,E-mail,Técnico,65,3
703,1007,Telefone,Reclamação,51,3
704,787,Telefone,Operacional,10,4
705,80,E-mail,Reclamação,21,2
706,894,Telefone,Operacional,66,4
707,755,Chat,Técnico,50,4
708,506,E-mail,Reclamação,5,3
709,58,Chat,Financeiro,34,5
710,933,Chat,Financeiro,33,2
711,1185,Chat,Financeiro,2,1
712,190,Chat,Reclamação,51,5
713,165,Chat,Financeiro,55,2
714,875,Telefone,Operacional,65,5
715,784,Chat,Operacional,53,1
716,224,Chat,Dúvida,45,2
717,551,Chat,Financeiro,51,3
718,14,E-mail,Reclamação,1,1
719,144,Chat,Reclamação,68,4
720,591,Chat,Reclamação,22,2
721,768,E-mail,Financeiro,26,4
722,373,Chat,Técnico,58,5
723,436,E-mail,Financeiro,8,2
724,393,Telefone,Reclamação,57,5
725,224,Chat,Financeiro,11,3
726,176,Telefone,Técnico,36,1
727,701,E-mail,Dúvida,31,4
728,994,Chat,Técnico,2,1
729,545,E-mail,Dúvida,6,1
730,433,Chat,Técnico,49,5
731,1066,Telefone,Reclamação,61,3
732,880,Telefone,Operacional,44,3
733,491,Telefone,Reclamação,49,5
734,118,Telefone,Operacional,13,1
735,936,Chat,Reclamação,18,1
736,252,Chat,Operacional,32,3
737,926,Chat,Reclamação,66,4
738,385,E-mail,Operacional,3,3
739,94,Chat,Operacional,57,2
740,993,Telefone,Dúvida,11,3
741,877,Telefone,Técnico,50,3
742,400,Chat,Financeiro,67,5
743,1034,E-mail,Financeiro,64,1
744,618,Chat,Dúvida,60,2
745,914,E-mail,Reclamação,70,2
746,499,E-mail,Financeiro,12,1
747,891,Chat,Técnico,21,3
748,786,Telefone,Financeiro,33,4
749,253,Chat,Financeiro,69,4
750,186,Chat,Operacional,29,5
751,133,Chat,Operacional,49,4
752,1151,Telefone,Financeiro,29,3
753,237,Telefone,Técnico,15,1
754,697,Chat,Dúvida,25,1
755,1174,Telefone,Financeiro,41,4
756,1182,Chat,Técnico,40,1
