id_venda,id_cliente,data_venda,produto,quantidade,valor_total
80,122,2025-07-04,Monitor,3,3783.71
81,164,2024-09-02,Tablet,5,2474.53
82,62,2023-10-01,Tablet,4,479.67
83,74,2025-07-02,Smartphone,3,1745.65
84,139,2024-08-24,Notebook,2,839.07
85,99,2023-03-22,Teclado,2,3561.45
86,17,2024-11-09,Monitor,4,1721.32
87,120,2023-12-24,Monitor,1,1113.49
88,108,2025-03-31,Monitor,5,4735.7
89,6,2024-10-20,Mouse,4,2437.2
90,91,2023-05-04,Tablet,4,4281.89
91,108,2023-01-18,Mouse,5,4019.35
92,57,2024-09-04,Monitor,2,1437.38
93,125,2023-06-02,Notebook,4,1747.03
94,174,2025-04-26,Monitor,2,4218.48
95,33,2025-03-26,Mouse,5,232.14
96,101,2023-10-09,Mouse,5,3348.7
97,22,2023-06-22,Teclado,4,764.93
98,119,2022-11-08,Smartphone,1,1374.77
99,84,2022-10-29,Smartphone,4,1701.54
100,195,2024-07-02,Monitor,3,3784.85
101,108,2022-11-17,Tablet,1,2404.5
102,192,2023-05-04,Mouse,1,4999.55
103,90,2023-03-13,Smartphone,1,3928.04
104,167,2022-11-05,Notebook,1,4753.1
105,52,2025-01-29,Notebook,5,846.67
106,33,2024-07-17,Monitor,1,2863.45
107,56,2024-11-29,Monitor,3,3857.8
108,43,2025-07-26,Mouse,5,4822.3
109,184,2025-04-16,Notebook,2,4827.13
110,28,2022-10-01,Mouse,1,4651.55
111,148,2025-04-24,Teclado,4,2043.61
112,184,2025-04-01,Smartphone,1,3001.28
113,161,2024-05-04,Smartphone,1,3516.25
114,78,2022-09-23,Teclado,5,4047.09
115,145,2025-04-29,Notebook,3,2710.45
116,170,2024-09-13,Tablet,1,2579.21
117,88,2022-08-18,Notebook,4,4129.42
118,28,2025-01-23,Monitor,3,3214.37
119,118,2023-06-17,Teclado,2,2233.89
120,188,2023-07-01,Mouse,3,3117.97
121,138,2025-03-17,Monitor,4,2234.32
122,188,2024-12-19,Mouse,3,1679.29
123,63,2025-06-06,Notebook,3,4419.99
124,63,2025-06-28,Monitor,5,3090.63
125,98,2025-02-17,Tablet,1,2522.1
126,84,2024-12-21,Smartphone,4,1139.39
127,67,2024-02-08,Tablet,3,4413.57
128,180,2025-06-17,Tablet,5,149.74
129,49,2025-06-02,Notebook,2,3628.37
130,126,2025-04-29,Mouse,2,3483.99
131,166,2024-08-31,Teclado,4,2296.06
132,5,2023-04-20,Notebook,3,1185.82
133,178,2024-05-25,Smartphone,3,3353.4
134,95,2024-01-13,Monitor,5,2701.52
135,109,2022-08-21,Teclado,5,1720.88
136,180,2023-09-10,Monitor,3,1602.45
137,60,2023-07-08,Notebook,2,1646.18
138,191,2025-02-17,Mouse,2,1038.55
139,190,2024-05-08,Monitor,3,3650.47
140,195,2025-05-15,Mouse,5,1486.69
141,26,2024-09-02,Smartphone,3,1214.67
142,46,2024-04-04,Tablet,1,3569.29
143,33,2023-06-13,Tablet,1,4874.05
144,142,2024-03-03,Tablet,2,3225.56
145,193,2023-10-05,Monitor,1,4376.33
146,147,2022-10-19,Tablet,4,2445.7
147,88,2023-12-28,Smartphone,1,1337.14
148,123,2024-07-10,Notebook,1,2063.47
149,19,2023-02-28,Mouse,1,843.46
150,145,2024-06-07,Tablet,1,4970.2
151,31,2022-09-02,Mouse,4,3070.96
152,159,2024-03-05,Smartphone,5,1963.85
153,114,2024-11-10,Tablet,5,4951.15
154,79,2025-02-28,Mouse,5,395.13
155,190,2023-10-02,Notebook,2,3165.02
156,68,2023-07-29,Teclado,1,869.58
157,45,2024-04-27,Mouse,1,867.01
158,105,2023-11-25,Monitor,5,2402.57
159,9,2023-06-29,Smartphone,3,3564.08
160,180,2023-08-26,Monitor,1,3468.19
161,68,2025-07-18,Teclado,5,3339.8
162,51,2025-02-25,Monitor,1,2768.36
163,166,2025-02-20,Smartphone,3,4150.49
164,19,2023-02-14,Notebook,2,3983.88
165,153,2025-07-20,Teclado,5,4613.84
166,113,2023-08-24,Notebook,4,3474.52
167,180,2023-03-18,Monitor,3,2552.31
168,127,2022-12-22,Monitor,1,3030.38
169,111,2024-11-03,Teclado,3,3058.2
170,7,2023-02-12,Notebook,2,4813.36
171,148,2023-04-08,Mouse,1,4997.9
172,173,2022-08-09,Tablet,5,297.14
173,194,2025-02-27,Smartphone,4,2642.92
174,114,2025-02-27,Tablet,2,4985.03
175,112,2024-08-28,Teclado,4,4848.37
176,121,2025-04-11,Tablet,4,1733.21
177,172,2025-05-08,Notebook,2,1716.04
178,178,2025-02-10,Monitor,3,3346.66
179,103,2023-08-14,Mouse,1,2328.65
180,81,2024-03-01,Tablet,3,668.02
181,198,2022-11-16,Monitor,5,4142.14
182,1,2023-09-25,Teclado,5,2363.68
183,14,2024-03-14,Smartphone,5,1872.72
184,194,2023-03-17,Monitor,4,3823.95
185,53,2022-11-04,Tablet,5,741.96
186,74,2022-11-13,Monitor,4,694.99
187,162,2024-01-29,Mouse,2,3577.94
188,80,2023-01-11,Mouse,1,2806.03
189,24,2023-01-25,Smartphone,1,2361.09
190,31,2025-04-09,Teclado,2,2542.04
191,184,2023-08-27,Tablet,5,3556.52
192,107,2022-10-26,Monitor,4,1294.28
193,142,2023-03-26,Smartphone,4,1033.99
194,154,2024-11-30,Mouse,2,4333.73
195,71,2024-03-12,Monitor,3,4677.82
196,130,2024-11-28,Tablet,1,1485.91
197,77,2024-04-17,Mouse,5,4994.62
198,126,2023-10-06,Smartphone,4,2739.04
199,89,2023-07-30,Tablet,5,3838.08
200,97,2022-09-14,Monitor,3,4361.05
201,613,2025-07-21,Smartphone,4,3889.96
202,273,2024-05-04,Teclado,2,435.22
203,1154,2023-12-29,Notebook,5,3285.1
204,902,2023-11-09,Tablet,2,3177.59
205,311,2024-10-10,Monitor,5,3464.17
206,445,2023-10-12,Notebook,1,786.06
207,253,2022-11-26,Mouse,4,1822.52
208,880,2024-05-25,Tablet,2,1314.15
209,173,2023-09-25,Smartphone,5,3044.9
210,584,2023-04-09,Teclado,1,4254.67
211,618,2025-05-02,Smartphone,5,3073.94
212,387,2025-05-30,Teclado,4,1548.16
213,112,2023-02-16,Smartphone,4,1990.84
214,494,2023-01-03,Monitor,5,447.96
215,25,2022-08-23,Tablet,3,746.72
216,1165,2024-09-26,Monitor,3,2777.15
217,354,2023-06-22,Monitor,1,181.78
218,139,2023-12-05,Notebook,3,1157.14
219,124,2025-04-21,Monitor,5,1503.79
220,1027,2023-01-01,Monitor,4,3538.87
221,169,2025-02-15,Teclado,5,2734.51
222,313,2024-11-25,Tablet,1,1618.54
223,1048,2025-01-16,Smartphone,2,2728.31
224,801,2023-10-29,Mouse,1,1619.83
225,896,2025-01-07,Teclado,2,383.74
226,177,2022-10-21,Monitor,1,2321.52
227,113,2024-03-12,Tablet,2,685.27
228,282,2023-04-13,Teclado,1,902.78
229,711,2023-03-19,Mouse,5,3936.64
230,531,2023-02-11,Smartphone,3,721.96
231,551,2023-01-26,Teclado,1,3880.01
232,61,2025-01-30,Tablet,4,1432.7
233,131,2022-09-27,Tablet,5,3174.91
234,1017,2023-12-02,Monitor,5,1864.61
235,1024,2023-05-13,Mouse,2,1901.67
236,523,2024-05-22,Notebook,5,3403.19
237,237,2025-03-16,Smartphone,5,112.59
238,26,2024-02-23,Smartphone,1,2411.65
239,785,2024-03-07,Smartphone,2,4662.68
240,73,2024-08-17,Mouse,4,1200.13
241,509,2023-10-24,Monitor,3,1429.16
242,160,2022-12-15,Mouse,3,685.06
243,108,2024-12-15,Smartphone,2,4041.26
244,95,2025-02-21,Monitor,1,4397.26
245,579,2025-04-07,Tablet,3,523.29
246,936,2024-06-25,Notebook,3,1083.29
247,1155,2023-10-28,Tablet,5,1288.66
248,755,2022-12-08,Mouse,4,4989.16
249,401,2025-05-07,Teclado,5,3826.36
250,503,2023-11-20,Smartphone,1,4668.75
251,49,2022-11-26,Smartphone,5,1797.48
252,20,2023-01-04,Tablet,1,3818.75
253,771,2024-01-13,Teclado,3,609.35
254,1086,2024-03-07,Smartphone,4,2510.94
255,123,2024-11-30,Smartphone,3,555.83
256,475,2023-01-16,Mouse,4,3534.15
257,763,2023-08-03,Monitor,1,2945.78
258,1036,2024-01-24,Smartphone,4,466.67
259,1163,2022-10-05,Notebook,4,3345.98
260,268,2022-12-26,Smartphone,3,1378.86
261,646,2024-02-19,Monitor,3,1658.48
262,557,2025-04-03,Smartphone,1,4723.42
263,279,2025-02-20,Mouse,1,861.51
264,337,2025-03-08,Monitor,4,1638.76
265,248,2022-11-28,Mouse,3,4826.71
266,426,2024-10-19,Monitor,3,2370.4
267,246,2024-07-19,Notebook,2,4057.22
268,624,2024-03-18,Teclado,5,297.62
269,672,2024-03-18,Smartphone,1,3584.67
270,729,2023-04-20,Monitor,5,339.86
271,613,2024-12-29,Tablet,2,252.3
272,829,2023-06-06,Monitor,5,3765.58
273,512,2025-06-22,Notebook,4,599.35
274,287,2024-10-18,Notebook,1,402.18
275,456,2022-09-02,Smartphone,2,4136.0
276,763,2022-11-05,Teclado,1,2953.39
277,531,2024-01-16,Notebook,1,4986.09
278,405,2023-11-28,Teclado,4,4065.56
279,189,2024-10-02,Tablet,1,309.21
280,945,2023-03-28,Notebook,2,4628.25
281,888,2022-08-07,Teclado,4,2531.02
282,784,2023-11-25,Teclado,4,946.76
283,440,2023-06-28,Smartphone,3,1471.29
284,305,2023-05-12,Notebook,5,3133.97
285,504,2023-08-18,Teclado,3,2544.57
286,1128,2022-08-12,Monitor,1,529.84
287,785,2024-08-21,Smartphone,4,1077.34
288,1077,2024-08-14,Smartphone,5,3994.75
289,784,2024-05-28,Teclado,3,2450.45
290,993,2024-10-28,Tablet,5,2561.73
291,796,2024-08-29,Tablet,2,227.71
292,449,2023-01-01,Notebook,3,387.1
293,967,2023-10-19,Mouse,3,3857.53
294,477,2023-03-02,Smartphone,1,1314.5
295,494,2025-03-02,Tablet,5,4099.8
296,115,2024-06-02,Smartphone,5,4247.87
297,796,2023-02-16,Tablet,2,962.89
298,652,2024-02-07,Teclado,3,4578.5
299,58,2023-05-19,Teclado,3,4743.04
300,1155,2024-08-19,Smartphone,5,4747.01
301,1009,2024-12-27,Mouse,3,960.23
302,78,2025-04-19,Notebook,1,1239.85
303,449,2024-02-13,Notebook,5,2442.15
304,680,2023-09-22,Mouse,2,4051.58
305,698,2024-10-12,Teclado,2,4602.03
306,663,2023-07-28,Notebook,1,823.79
307,291,2024-05-17,Notebook,5,4317.28
308,149,2023-01-24,Tablet,4,2971.48
309,690,2024-07-20,Tablet,3,768.61
310,323,2022-11-25,Teclado,4,3980.03
311,998,2025-05-11,Teclado,3,953.59
312,1151,2024-01-27,Teclado,5,3956.26
313,458,2023-01-20,Teclado,5,4090.83
314,775,2024-05-22,Tablet,3,724.01
315,4,2025-05-10,Teclado,5,2018.85
316,1163,2024-09-04,Notebook,2,3051.7
317,453,2024-01-22,Teclado,5,610.14
318,1017,2024-04-09,Smartphone,3,3752.18
319,488,2024-03-18,Tablet,3,922.65
320,182,2022-10-16,Teclado,3,2288.49
321,544,2025-06-14,Smartphone,2,3496.56
322,718,2022-10-20,Tablet,1,3630.03
323,99,2023-03-25,Monitor,4,3689.66
324,341,2024-10-30,Monitor,4,4420.68
325,720,2023-07-23,Mouse,4,597.0
326,982,2023-05-14,Mouse,2,897.02
327,151,2022-11-02,Notebook,3,198.38
328,535,2023-10-23,Notebook,1,1774.86
329,769,2023-09-02,Smartphone,1,2780.53
330,191,2024-11-07,Tablet,5,4927.85
331,989,2022-12-03,Teclado,1,2213.48
332,338,2024-02-07,Mouse,4,869.81
333,208,2023-05-01,Tablet,2,4874.55
334,839,2024-12-16,Teclado,5,3637.99
335,1107,2025-01-31,Tablet,3,1557.26
336,197,2023-10-05,Notebook,4,2901.67
337,1006,2023-10-19,Smartphone,1,1868.06
338,876,2024-12-17,Notebook,3,4137.1
339,984,2022-12-06,Smartphone,1,226.1
340,350,2022-12-11,Teclado,3,4887.58
341,970,2024-06-25,Notebook,3,3945.9
342,965,2025-01-29,Monitor,3,546.57
343,1115,2025-02-08,Monitor,2,1918.0
344,782,2023-08-09,Tablet,2,2284.3
345,540,2022-11-01,Monitor,4,1390.66
346,551,2024-03-25,Mouse,1,840.54
347,199,2023-03-18,Notebook,3,4060.08
348,848,2024-11-28,Mouse,2,2812.65
349,793,2023-11-08,Mouse,4,4831.58
350,973,2023-02-15,Mouse,2,2433.69
351,162,2023-07-11,Monitor,1,2560.3
352,1059,2024-12-29,Mouse,5,822.49
353,920,2024-10-29,Smartphone,2,4863.61
354,395,2022-12-08,Smartphone,1,2174.54
355,892,2023-09-09,Smartphone,2,4187.13
356,529,2023-01-06,Tablet,1,526.43
357,1140,2024-09-29,Monitor,5,1698.02
358,566,2023-02-16,Mouse,4,4594.09
359,26,2023-09-18,Teclado,5,2979.12
360,860,2025-05-07,Notebook,4,833.25
361,1161,2024-05-10,Mouse,5,3816.05
362,206,2022-09-08,Notebook,5,3919.77
363,586,2022-08-31,Mouse,3,4401.68
364,541,2024-10-18,Monitor,4,2902.91
365,969,2024-02-04,Notebook,2,1449.53
366,295,2024-03-31,Mouse,5,3435.98
367,823,2023-02-27,Notebook,4,4458.91
368,679,2023-02-21,Teclado,2,341.53
369,974,2023-03-21,Tablet,3,199.14
370,621,2025-04-06,Tablet,3,4229.95
371,202,2023-01-21,Smartphone,2,1572.35
372,908,2025-05-08,Tablet,3,3671.12
373,183,2025-04-05,Smartphone,4,1135.81
374,834,2025-02-10,Teclado,4,3821.52
375,766,2024-03-10,Notebook,5,3978.3
376,135,2024-03-21,Tablet,5,2076.59
377,1074,2024-12-07,Mouse,1,951.31
378,412,2024-04-28,Notebook,2,262.05
379,104,2023-01-02,Tablet,2,1442.49
380,951,2025-06-17,Mouse,4,3213.51
381,254,2025-07-24,Teclado,1,1285.5
382,1002,2024-01-19,Mouse,4,970.16
383,972,2023-03-22,Mouse,5,1813.82
384,335,2025-06-01,Tablet,1,1496.84
385,792,2023-09-26,Notebook,2,4283.72
386,439,2023-05-18,Smartphone,2,3420.71
387,552,2022-11-12,Teclado,4,2615.08
388,19,2023-09-16,Monitor,2,3272.12
389,18,2024-10-18,Smartphone,3,3080.89
390,626,2023-07-10,Teclado,3,2176.65
391,772,2024-06-13,Tablet,4,1334.79
392,956,2025-07-09,Tablet,5,4139.12
393,814,2023-09-09,Mouse,1,136.0
394,767,2023-11-14,Mouse,5,3084.35
395,612,2023-08-20,Teclado,1,2460.52
396,689,2023-02-20,Tablet,3,4321.31
397,535,2023-03-29,Teclado,3,1022.96
398,1060,2024-06-25,Smartphone,1,4046.61
399,828,2025-07-05,Teclado,3,3435.7
400,53,2024-02-24,Teclado,4,4987.6
401,532,2023-12-11,Monitor,4,2002.55
402,73,2022-12-16,Mouse,5,4098.47
403,703,2023-08-11,Teclado,2,3462.96
404,975,2024-08-27,Teclado,3,2585.84
405,349,2023-04-19,Teclado,5,987.57
406,200,2023-04-08,Monitor,2,3730.5
407,1145,2024-02-18,Smartphone,3,3306.73
408,456,2024-08-09,Tablet,2,3746.63
409,629,2023-12-10,Monitor,3,1921.24
410,1200,2024-07-03,Tablet,4,4270.95
411,964,2024-08-31,Notebook,5,2943.53
412,146,2025-06-24,Monitor,2,2552.34
413,782,2023-04-14,Mouse,3,2124.23
414,309,2024-11-20,Smartphone,2,1779.08
415,1167,2024-03-03,Monitor,2,1650.28
416,370,2023-03-19,Notebook,4,1729.88
417,363,2025-03-29,Tablet,1,123.1
418,561,2023-08-31,Smartphone,2,2923.77
419,325,2023-01-31,Monitor,1,734.09
420,889,2022-12-12,Teclado,4,2076.63
421,978,2025-03-09,Monitor,1,284.85
422,409,2025-06-28,Teclado,3,4755.34
423,660,2023-04-29,Mouse,2,187.79
424,9,2023-01-07,Teclado,2,1208.7
425,706,2023-03-21,Tablet,2,603.27
426,1031,2025-01-12,Mouse,3,918.4
427,94,2025-02-02,Tablet,3,2334.04
428,1066,2024-10-16,Mouse,5,1755.39
429,275,2024-10-05,Tablet,4,1860.33
430,386,2024-10-26,Smartphone,4,193.71
431,460,2025-04-20,Teclado,2,1134.83
432,45,2022-10-11,Mouse,5,928.03
433,751,2022-11-02,Teclado,1,1938.44
434,524,2023-02-10,Mouse,5,338.08
435,99,2023-04-17,Teclado,1,3302.48
436,41,2023-06-10,Notebook,1,2142.2
437,779,2023-01-28,Notebook,5,1338.42
438,314,2023-09-09,Smartphone,1,1575.47
439,207,2023-09-09,Teclado,5,1422.89
440,281,2025-03-03,Monitor,1,2606.77
441,242,2023-03-06,Tablet,1,3945.32
442,1020,2023-12-11,Smartphone,5,1078.77
443,539,2023-04-11,Mouse,2,1853.82
444,840,2023-04-16,Tablet,2,293.09
445,1017,2022-10-16,Smartphone,4,1719.96
446,6,2023-02-07,Notebook,1,4543.71
447,1176,2025-02-10,Teclado,4,830.81
448,185,2024-06-15,Mouse,1,3645.46
449,208,2025-06-15,Tablet,2,2338.08
450,607,2024-03-29,Tablet,4,345.39
451,358,2024-06-09,Notebook,3,1865.05
452,641,2023-03-26,Monitor,1,565.49
453,94,2025-06-12,Notebook,2,3350.44
454,350,2025-02-18,Tablet,3,4483.19
455,550,2023-06-21,Teclado,1,1925.85
456,702,2023-08-12,Smartphone,1,2063.81
457,935,2023-06-18,Tablet,4,3480.52
458,980,2024-12-23,Monitor,2,653.98
459,121,2023-12-17,Smartphone,1,2138.54
460,989,2023-03-30,Mouse,4,988.18
461,778,2023-06-26,Tablet,5,241.2
462,268,2022-08-08,Monitor,4,653.39
463,843,2022-12-11,Monitor,1,410.35
464,644,2024-05-17,Notebook,5,3860.89
465,1181,2023-10-06,Teclado,5,1197.53
466,693,2024-09-18,Mouse,5,3472.38
467,196,2022-09-01,Monitor,2,2461.46
468,789,2024-07-14,Smartphone,5,4471.1
469,112,2023-06-27,Notebook,2,2577.28
470,962,2025-06-01,Monitor,2,466.84
471,1007,2024-03-06,Tablet,2,1721.38
472,570,2023-12-10,Notebook,5,1191.26
473,776,2023-12-14,Monitor,2,486.27
474,910,2023-05-17,Mouse,4,531.3
475,1021,2024-10-14,Monitor,3,681.66
476,1019,2025-04-17,Teclado,1,602.95
477,845,2024-06-19,Notebook,5,2790.58
478,187,2024-11-13,Mouse,5,3223.94
479,1042,2023-09-15,Mouse,2,3307.52
480,935,2023-09-19,Tablet,3,4144.02
481,457,2024-09-11,Monitor,3,2844.74
482,969,2025-04-22,Teclado,3,3607.98
483,234,2024-01-03,Notebook,2,110.77
484,728,2024-01-05,Teclado,3,2783.68
485,766,2025-01-05,Teclado,1,324.31
486,337,2025-02-16,Monitor,2,4127.01
487,839,2023-11-17,Notebook,3,3093.17
488,385,2024-09-11,Notebook,4,1156.39
489,391,2022-08-25,Teclado,3,628.05
490,849,2023-04-18,Notebook,5,703.77
491,923,2025-06-08,Monitor,5,4785.33
492,276,2023-10-22,Monitor,1,2698.79
493,100,2022-08-06,Mouse,4,4210.2
494,990,2023-11-20,Mouse,2,3489.91
495,356,2024-10-12,Teclado,2,607.41
496,660,2024-01-15,Mouse,4,2151.46
497,509,2023-09-12,Tablet,4,4821.61
498,603,2025-05-21,Monitor,2,777.08
499,1050,2024-09-03,Tablet,5,4317.47
500,1134,2023-07-08,Teclado,2,1084.36
501,596,2024-08-27,Teclado,3,4613.84
502,272,2024-07-29,Teclado,2,2569.08
503,661,2025-01-19,Teclado,1,3827.8
504,1152,2024-01-17,Monitor,5,2896.13
505,855,2023-02-01,Teclado,5,1501.05
506,866,2023-12-30,Notebook,5,621.71
507,781,2022-12-31,Smartphone,1,3384.25
508,410,2024-07-30,Tablet,2,4919.31
509,514,2024-10-07,Smartphone,1,3483.91
510,605,2022-11-09,Smartphone,5,258.3
511,927,2023-04-17,Notebook,5,4353.37
512,1151,2023-10-25,Smartphone,5,2005.54
513,1047,2023-01-30,Teclado,3,3495.39
514,97,2023-03-25,Monitor,4,2141.17
515,641,2024-07-30,Mouse,1,163.53
516,515,2023-01-23,Smartphone,5,4357.36
517,908,2022-08-25,Smartphone,3,3800.03
518,1120,2025-04-09,Teclado,5,1062.7
519,397,2024-01-05,Tablet,4,969.39
520,153,2024-12-28,Smartphone,2,3701.89
521,245,2025-06-19,Monitor,1,2199.69
522,1140,2025-03-12,Tablet,2,888.55
523,523,2022-12-08,Notebook,3,2385.02
524,318,2023-10-08,Notebook,2,4650.28
525,105,2023-08-26,Teclado,5,4231.39
526,617,2024-11-27,Monitor,5,2795.78
527,150,2023-04-19,Teclado,3,2674.44
528,377,2025-05-24,Mouse,1,3952.67
529,327,2024-06-12,Monitor,5,2731.48
530,189,2023-01-06,Tablet,2,4428.64
531,680,2023-08-30,Tablet,3,1538.51
532,1087,2023-02-05,Monitor,5,4136.07
533,19,2022-10-24,Notebook,3,2283.77
534,500,2023-02-24,Notebook,3,1968.73
535,233,2025-07-22,Monitor,3,2747.16
536,580,2024-08-06,Notebook,5,4128.33
537,768,2024-06-12,Mouse,5,2283.23
538,90,2023-03-11,Tablet,2,1669.53
539,169,2024-03-07,Notebook,2,4860.98
540,1102,2022-08-03,Mouse,1,3171.97
541,432,2023-11-03,Teclado,2,4338.26
542,869,2023-09-05,Notebook,2,2735.0
543,892,2025-02-15,Teclado,1,3759.77
544,315,2024-04-18,Notebook,4,3612.65
545,78,2023-04-26,Notebook,1,365.91
546,516,2024-04-15,Mouse,1,2917.32
547,467,2025-01-21,Tablet,4,2001.36
548,829,2023-09-10,Monitor,3,182.77
549,243,2024-09-03,Mouse,1,3242.97
550,130,2023-10-05,Teclado,5,323.03
551,149,2024-02-28,Tablet,5,620.06
552,618,2025-02-15,Mouse,1,1479.44
553,897,2023-07-30,Monitor,4,4128.4
554,64,2023-02-27,Monitor,2,2713.99
555,280,2024-11-20,Teclado,4,4004.18
556,1118,2023-07-14,Tablet,2,1560.48
557,765,2023-06-23,Notebook,5,4386.36
558,290,2022-11-09,Notebook,1,124.65
559,808,2025-01-25,Mouse,5,4740.2
560,625,2024-02-19,Smartphone,3,1137.51
561,1050,2024-10-23,Smartphone,2,1001.56
562,518,2023-01-02,Smartphone,1,988.65
563,1162,2024-02-20,Notebook,5,2360.2
564,1126,2022-11-14,Notebook,3,3391.26
565,514,2022-12-23,Notebook,2,3655.39
566,998,2023-12-20,Tablet,3,728.25
567,481,2022-08-31,Notebook,3,3135.63
568,397,2024-10-27,Tablet,4,2308.17
569,627,2025-03-03,Teclado,5,846.74
570,1161,2023-06-15,Tablet,3,4797.43
571,346,2024-02-15,Notebook,3,1306.26
572,454,2022-11-19,Teclado,4,1455.73
573,737,2024-06-26,Smartphone,3,4401.64
574,948,2024-01-18,Monitor,3,3896.36
575,998,2023-07-14,Mouse,1,961.27
576,168,2024-06-21,Tablet,2,4467.36
577,403,2024-06-23,Tablet,1,3664.38
578,39,2025-05-07,Mouse,1,4081.95
579,1186,2025-01-15,Monitor,5,1142.53
580,76,2024-04-23,Mouse,3,2763.0
581,1106,2023-04-27,Monitor,2,1892.51
582,458,2024-11-11,Mouse,3,756.02
583,1027,2023-01-18,Mouse,1,2044.25
584,1029,2023-07-24,Notebook,2,4255.11
585,340,2025-04-02,Mouse,2,2286.48
586,367,2023-11-21,Mouse,5,3331.13
587,300,2023-02-23,Teclado,4,4701.96
588,83,2024-01-20,Smartphone,4,1235.57
589,542,2024-06-24,Tablet,2,309.76
590,424,2022-07-30,Mouse,3,2001.66
591,932,2023-06-07,Notebook,1,4904.89
592,664,2025-03-19,Notebook,5,3204.48
593,561,2024-02-27,Teclado,3,2935.29
594,1168,2023-11-28,Smartphone,4,3303.01
595,749,2023-08-06,Mouse,1,2631.65
596,771,2023-10-21,Smartphone,5,2088.63
597,707,2024-12-03,Monitor,4,4447.14
598,14,2023-05-13,Mouse,2,2255.5
599,472,2022-08-04,Notebook,5,3253.04
600,434,2022-09-15,Smartphone,2,871.05
601,243,2024-12-15,Teclado,2,2131.61
602,677,2023-08-13,Teclado,1,2459.43
603,981,2023-02-13,Monitor,2,2994.88
604,842,2023-05-17,Notebook,2,311.41
